latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
140,100,194923,0.7733,0.6960,0.7242,0.8960,0.4552,0.8000,0.7090,0.7609
141,99,194923,0.7717,0.6940,0.7225,0.8951,0.4509,0.7987,0.7087,0.7593
142,98,194923,0.7709,0.6928,0.7217,0.8945,0.4505,0.7973,0.7065,0.7598
143,97,194923,0.7694,0.6908,0.7197,0.8937,0.4470,0.7960,0.7044,0.7575
144,96,194923,0.7685,0.6896,0.7188,0.8939,0.4476,0.7941,0.7019,0.7566
145,95,194923,0.7673,0.6880,0.7174,0.8928,0.4451,0.7932,0.7006,0.7553
146,94,194923,0.7663,0.6867,0.7162,0.8921,0.4425,0.7927,0.6991,0.7547
147,93,194923,0.7655,0.6856,0.7153,0.8920,0.4401,0.7913,0.6985,0.7545
148,92,194923,0.7645,0.6842,0.7138,0.8916,0.4384,0.7904,0.6954,0.7534
149,91,194923,0.7635,0.6829,0.7130,0.8912,0.4374,0.7888,0.6958,0.7520
150,90,194923,0.7769,0.7008,0.7271,0.9002,0.4533,0.8046,0.7147,0.7628
151,89,194923,0.7773,0.7013,0.7276,0.9000,0.4547,0.8056,0.7161,0.7617
152,88,194923,0.7775,0.7017,0.7278,0.9001,0.4554,0.8060,0.7159,0.7619
153,87,194923,0.7770,0.7009,0.7270,0.9003,0.4561,0.8051,0.7137,0.7598
154,86,194923,0.7772,0.7013,0.7274,0.9006,0.4562,0.8048,0.7140,0.7612
155,85,194923,0.7771,0.7012,0.7273,0.9006,0.4572,0.8046,0.7141,0.7598
156,84,194923,0.7764,0.7002,0.7265,0.9002,0.4564,0.8040,0.7126,0.7593
157,83,194923,0.7758,0.6994,0.7257,0.8998,0.4528,0.8041,0.7147,0.7573
158,82,194923,0.7767,0.7006,0.7267,0.9005,0.4553,0.8045,0.7156,0.7579
159,81,194923,0.7758,0.6994,0.7257,0.8997,0.4539,0.8040,0.7147,0.7563
160,80,194923,0.7753,0.6987,0.7252,0.8994,0.4544,0.8035,0.7125,0.7559
161,79,194923,0.7752,0.6986,0.7250,0.8993,0.4551,0.8032,0.7127,0.7550
162,78,194923,0.7748,0.6982,0.7244,0.8994,0.4537,0.8032,0.7116,0.7540
163,77,194923,0.7744,0.6975,0.7239,0.8987,0.4541,0.8027,0.7102,0.7538
164,76,194923,0.7736,0.6965,0.7230,0.8983,0.4516,0.8022,0.7108,0.7523
165,75,194923,0.7725,0.6950,0.7217,0.8977,0.4493,0.8007,0.7094,0.7514
166,74,194923,0.7712,0.6932,0.7202,0.8970,0.4475,0.7996,0.7076,0.7493
167,73,194923,0.7701,0.6918,0.7186,0.8963,0.4459,0.7985,0.7039,0.7485
168,72,194923,0.7688,0.6901,0.7173,0.8960,0.4446,0.7971,0.7029,0.7458
